index,smiles,oxidation_potential,reduction_potential
379,C#CCN=CO,,
380,C#CCN=CO,,
381,C#CC(=O)CN,,
382,C(CC=O)C#N,,
383,C1[C@H]2C[N@]2C1=O,,
384,C#CC(=NC)O,,
385,C=C=C=C(N)O,,
386,C1CC1(C#N)O,,
387,CCC(=O)C#N,3.7276217828717195,
388,C(#N)C1COC1,,
389,C[C@H](C#N)C=O,,
390,CC#CC(=N)O,4.97395887370345,
391,c1cc(N)oc1,,
392,C1[C@@H](C#N)[C@H]1O,,
393,C1=CC(=NC1)O,4.864524221735846,-4.827827187940275
394,CC#CC(=N)O,4.97395887370345,
395,C1[C@@H]2[C@H]1N=C2O,,
396,C1CO[C@H]1C#N,3.6351693192032686,
397,C(=N)NC(=N)N,,
398,C#C[C@]1(C[C@@H]1C(=N)O)C(=N)O,,
399,C(C#N)N,,
400,CN=C=N,,
401,C(=O)C(=N)N,,
402,C(=N)N=CO,,
403,C1[C@@H]([CH]OC(=O)O)[C@@H]1OC(=O)O,,
404,C([C]=COC(=O)O)COC(=O)O,,
405,C(=C\OC(=O)O)/CCOC(=O)[O],,
406,C(=C\COC(=O)[O])/COC(=O)O,,
407,C(=[C]COC(=O)O)COC(=O)O,,
408,C=COC(=O)OOCCO[C]=O,3.9995924784457744,-6.312252591760116
409,C(=O)COC(=O)OCCO[C]=O,,
410,C=COC(=O)OOC(=O)OC[CH2],,
411,C(COC(=O)[O])C(=O)OCC=O,,
412,C(=[C]OC(=O)O)CCOC(=O)O,,
413,C=COC(=O)OCOC(=O)O[CH2],,
414,[CH2]COC(=O)OC(=O)OCC=O,,
415,C(=C\COC(=O)O)/[CH]OC(=O)O,,
416,[CH2]OC(=O)OCC(=O)OCC=O,,
417,[CH2]OC(=O)OCC(=O)O[C@H]1CO1,,
418,C(=O)COC(=O)O[C]1OCCO1,,
419,[CH2]OC(=O)OCO[C@H]1COC1=O,,
420,C=COC(=O)OCCOC(=O)[O],,
421,C(=C\OC(=O)O)/C[CH]OC(=O)O,,
422,C(CO[C@H]1COC(=O)O1)O[C]=O,,
423,[CH2]COC(=O)O[C@H]1COC(=O)O1,,
424,C(COC(=O)[O])[C@H]1COC(=O)O1,,
425,C1COC2([C@@H](COC(=O)[O])O2)O1,,
426,C(=O)COC1(COC(=O)OC1)[O],,
427,C=CCOC(=O)OOC(=O)O[CH2],,
428,C1COC(=O)OO[C]1OCC=O,,
429,[CH]1COOC2(C(=O)O1)OCCO2,,
430,[CH2]OC(=O)O[C@@H]1C(=O)OCCO1,,
431,[CH]1COC(=O)O[C@H]1COC(=O)O,,
432,[CH]=COC(=O)OOC(=O)OCC,,
433,[CH2]OC(=O)O/C=C\COC(=O)O,,
434,[CH]1CCOC(=O)OOC(=O)OC1,,
435,C([CH]OC(=O)[C@H]1COC(=O)O1)O,,
436,C1COC([C@H]2COC(=O)O2)([O])O1,,
437,[CH2]OC(=O)OC[C@@H]1COC(=O)O1,,
438,C=COC(=O)OC(=O)OCC[O],,
439,C([C@H]1[C@H](COC(=O)[O])C(=O)O1)O,,
440,[CH]1COC2(OCCO2)OC(=O)O1,,
441,C1COC(=O)OC(=O)O[C@H]1C[O],,
442,C([C@H]([C@H]1COC(=O)O1)O)O[C]=O,4.7411343170538744,
443,CC(C)[C@@H]1[C@H](C#N)N1,4.166897511384886,-5.566239277655259
444,CC[C@H]1CN[C@H]1C#N,,
445,C(C#N)CN1CCC1,,
